person,name_x,party_x,VoteAlong113thRatio,VoteAlong114thRatio,VoteAlong115thRatio,VoteAlong116thRatio,party_short,Last_name,Suffix,LastName,ID_NameParty,Pure_name,FirstName,first,last,party_y,donations2012,donations2014,donations2016,donations2018,pageid,wikidataid,wikititle,name_y,sex,ethnicity,religion,birth,death,birthplace,deathplace,Number_Sessions_Served,Session_113,Session_114,Session_115,Session_116
412189,"Rep. Jerry McNerney [D, 2013-2022]",Democrat,0.25,0.3333333333333333,0.6,1.0,D, Jerry McNerney ,McNerney,McNerney,JerryMcNerneyD, Jerry McNerney ,Jerry,Jerry,McNerney,D,,,,,2712157.0,Q1344743,Jerry_McNerney,Jerry McNerney,male,white,,1951-06-18,,"35.11667,-106.61667",,4.0,True,True,True,True
412192,"Rep. Ed Perlmutter [D, 2007-2022]",Democrat,0.75,0.0,0.8,1.0,D, Ed Perlmutter ,Perlmutter,Perlmutter,EdPerlmutterD, Ed Perlmutter ,Ed,Ed,Perlmutter,D,,,,,2564157.0,Q331507,Ed_Perlmutter,Ed Perlmutter,male,white,,1953-05-01,,"39.73917,-104.98472",,4.0,True,True,True,True
412193,"Rep. Joe Courtney [D, 2007-2022]",Democrat,0.0,0.3333333333333333,0.8,1.0,D, Joe Courtney ,Courtney,Courtney,JoeCourtneyD, Joe Courtney ,Joe,Joe,Courtney,D,,,,,2274386.0,Q434470,Joe_Courtney_(politician),Joe Courtney,male,white,catholicism,1953-04-06,,"41.76333,-72.685",,4.0,True,True,True,True
412195,"Rep. Kathy Castor [D, 2013-2022]",Democrat,0.5,0.3333333333333333,0.8,1.0,D, Kathy Castor ,Castor,Castor,KathyCastorD, Kathy Castor ,Kathy,Kathy,Castor,D,0.0,3500.0,0.0,0.0,5508806.0,Q458492,Kathy_Castor,Kathy Castor,female,white,,1966-08-20,,"25.78333,-80.21667",,4.0,True,True,True,True
412199,"Rep. Henry “Hank” Johnson Jr. [D, 2007-2022]",Democrat,0.25,0.3333333333333333,0.6,1.0,D, Henry “Hank” Johnson  ,Johnson,Johnson,HenryJohnsonD, Henry “Hank” Johnson  ,Henry,,,,,,,,,,,,,,,,,,,,,,,
412208,"Rep. Bruce Braley [D, 2007-2014]",Democrat,0.25,,,,D, Bruce Braley ,Braley,Braley,BruceBraleyD, Bruce Braley ,Bruce,,,,,,,,,,,,,,,,,,,,,,,
412209,"Rep. David Loebsack [D, 2007-2020]",Democrat,0.5,0.3333333333333333,0.8,1.0,D, David Loebsack ,Loebsack,Loebsack,DavidLoebsackD, David Loebsack ,David,David,Loebsack,D,0.0,0.0,0.0,5.0,6872479.0,Q771586,Dave_Loebsack,David Loebsack,male,white,,1952-12-23,,"42.49806,-96.39556",,4.0,True,True,True,True
412211,"Rep. John Yarmuth [D, 2007-2022]",Democrat,0.25,0.3333333333333333,0.6,1.0,D, John Yarmuth ,Yarmuth,Yarmuth,JohnYarmuthD, John Yarmuth ,John,John,Yarmuth,D,0.0,0.0,1000.0,0.0,3983746.0,Q699970,John_Yarmuth,John Yarmuth,male,white,judaism,1947-11-04,,"38.25417,-85.76028",,4.0,True,True,True,True
412212,"Rep. John Sarbanes [D, 2007-2022]",Democrat,0.0,0.3333333333333333,0.8,1.0,D, John Sarbanes ,Sarbanes,Sarbanes,JohnSarbanesD, John Sarbanes ,John,John,Sarbanes,D,,,,,3227358.0,Q984509,John_Sarbanes,John Sarbanes,male,white,,1962-05-22,,"39.28639,-76.615",,4.0,True,True,True,True
412214,"Rep. Timothy Walz [D, 2007-2018]",Democrat,0.5,0.3333333333333333,0.4,,D, Timothy Walz ,Walz,Walz,TimothyWalzD, Timothy Walz ,Timothy,,,,,,,,,,,,,,,,,,,,,,,
