House Vote #288 2016-06-09T18:20:00 - H.R. 5278: PROMESA
person,state,district,vote,name,party
412517,CA,29,Aye,"Rep. Tony Cárdenas [D, 2013-2022]",Democrat
412519,CA,36,Aye,"Rep. Raul Ruiz [D, 2013-2022]",Democrat
412520,CA,41,Aye,"Rep. Mark Takano [D, 2013-2022]",Democrat
412521,CA,47,Aye,"Rep. Alan Lowenthal [D, 2013-2022]",Democrat
412522,CA,51,No,"Rep. Juan Vargas [D, 2013-2022]",Democrat
412523,CA,52,Aye,"Rep. Scott Peters [D, 2013-2022]",Democrat
412524,CT,5,Aye,"Rep. Elizabeth Esty [D, 2013-2018]",Democrat
412525,FL,3,No,"Rep. Ted Yoho [R, 2013-2020]",Republican
412526,FL,6,No,"Rep. Ron DeSantis [R, 2013-2018]",Republican
412527,FL,18,Aye,"Rep. Patrick Murphy [D, 2013-2016]",Democrat
412529,FL,22,Aye,"Rep. Lois Frankel [D, 2013-2016]",Democrat
412531,GA,9,Aye,"Rep. Doug Collins [R, 2013-2020]",Republican
412532,HI,2,Aye,"Rep. Tulsi Gabbard [D, 2013-2020]",Democrat
412533,IL,8,Aye,"Rep. Tammy Duckworth [D, 2013-2016]",Democrat
412536,IL,13,No,"Rep. Rodney Davis [R, 2013-2022]",Republican
412537,IL,17,Aye,"Rep. Cheri Bustos [D, 2013-2022]",Democrat
412538,IN,2,Aye,"Rep. Jackie Walorski [R, 2013-2022]",Republican
412539,IN,5,Aye,"Rep. Susan Brooks [R, 2013-2020]",Republican
412540,IN,6,No,"Rep. Luke Messer [R, 2013-2018]",Republican
412541,KY,6,No,"Rep. Garland “Andy” Barr [R, 2013-2022]",Republican
412543,MA,4,Aye,"Rep. Joseph Kennedy III [D, 2013-2020]",Democrat
412544,MD,6,Aye,"Rep. John Delaney [D, 2013-2018]",Democrat
412546,MI,5,Aye,"Rep. Daniel Kildee [D, 2013-2022]",Democrat
412548,MO,2,Aye,"Rep. Ann Wagner [R, 2013-2022]",Republican
412550,NC,8,No,"Rep. Richard Hudson [R, 2013-2022]",Republican
412551,NC,9,Aye,"Rep. Robert Pittenger [R, 2013-2018]",Republican
412552,NC,11,No,"Rep. Mark Meadows [R, 2013-2020]",Republican
412553,NC,13,No,"Rep. George Holding [R, 2013-2016]",Republican
412555,ND,0,Aye,"Rep. Kevin Cramer [R, 2013-2018]",Republican
412557,NH,2,Aye,"Rep. Ann Kuster [D, 2013-2022]",Democrat
412558,NM,1,Aye,"Rep. Michelle Lujan Grisham [D, 2013-2018]",Democrat
412560,NY,6,Aye,"Rep. Grace Meng [D, 2013-2022]",Democrat
412561,NY,8,Aye,"Rep. Hakeem Jeffries [D, 2013-2022]",Democrat
412562,NY,18,Aye,"Rep. Sean Maloney [D, 2013-2022]",Democrat
