pageid,party_x,wikidataid,wikititle,name_x,sex,ethnicity,religion,birth,death,birthplace,deathplace,Number_Sessions_Served,Session_113,Session_114,Session_115,Session_116,first,last,ID_NameParty,party_y,Bloomberg_donations2012,Bloomberg_donations2014,Bloomberg_donations2016,Bloomberg_donations2018,party_x,Citadel_donations2012,Citadel_donations2014,Citadel_donations2016,Citadel_donations2018,person,name_y,VoteAlong113thRatio_FS_IIR,VoteAlong114thRatio_FS_IIR,VoteAlong115thRatio_FS_IIR,VoteAlong116thRatio_FS_IIR,VoteAlong113thRatio_FS_FSS,VoteAlong114thRatio_FS_FSS,VoteAlong115thRatio_FS_FSS,VoteAlong116thRatio_FS_FSS,VoteAlong113thRatio_FS_CM,VoteAlong114thRatio_FS_CM,VoteAlong115thRatio_FS_CM,VoteAlong116thRatio_FS_CM,VoteAlong113thRatio_FS_REB,VoteAlong114thRatio_FS_REB,VoteAlong115thRatio_FS_REB,VoteAlong116thRatio_FS_REB,party_short,Pure_name,LastName,FirstName,name,party_y,VoteAlong113thRatio_Film,VoteAlong114thRatio_Film,VoteAlong115thRatio_Film,VoteAlong116thRatio_Film
2337119,R,Q766866,Kevin_McCarthy_(California_politician),Kevin McCarthy,male,white,,1965-01-26,,"35.40583,-119.01861",,4,True,True,True,True,Kevin,McCarthy,KevinMcCarthyR,,,,,,,,,,,412190.0,"Rep. Kevin McCarthy [R, 2013-2022]",0.8333333333333334,0.8,0.8571428571428571,0.5,0.6666666666666666,0.6666666666666666,0.8888888888888888,0.3333333333333333,0.7142857142857143,0.8,1.0,1.0,0.6666666666666666,1.0,1.0,0.3333333333333333,R, Kevin McCarthy ,McCarthy,Kevin,"Rep. Kevin McCarthy [R, 2013-2022]",Republican,0.75,0.6666666666666666,0.8,0.0
9140038,D,Q3577073,Julia_Brownley,Julia Brownley,female,white,,1952-08-28,,"33.54944,-81.72056",,4,True,True,True,True,Julia,Brownley,JuliaBrownleyD,D,0.0,0.0,0.0,396.0,D,0.0,0.0,0.0,396.0,412516.0,"Rep. Julia Brownley [D, 2013-2022]",0.8333333333333334,0.8,0.2857142857142857,1.0,0.6666666666666666,0.3333333333333333,0.4444444444444444,1.0,0.7142857142857143,0.6,0.0,1.0,0.6666666666666666,0.5,0.0,1.0,D, Julia Brownley ,Brownley,Julia,"Rep. Julia Brownley [D, 2013-2022]",Democrat,0.5,0.3333333333333333,0.8,1.0
7197854,D,Q460035,Judy_Chu,Judy Chu,female,asian,,1953-07-07,,"34.05,-118.25",,4,True,True,True,True,Judy,Chu,JudyChuD,,,,,,,,,,,412379.0,"Rep. Judy Chu [D, 2013-2022]",0.3333333333333333,0.8,0.2857142857142857,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.2857142857142857,0.4,0.0,1.0,0.6666666666666666,0.25,0.0,1.0,D, Judy Chu ,Chu,Judy,"Rep. Judy Chu [D, 2013-2022]",Democrat,0.25,0.3333333333333333,0.6,1.0
408932,D,Q350843,Adam_Schiff,Adam Schiff,male,white,judaism,1960-06-22,,"42.27917,-71.41667",,4,True,True,True,True,Adam,Schiff,AdamSchiffD,D,0.0,0.0,0.0,5.0,D,0.0,0.0,0.0,5.0,400361.0,"Rep. Adam Schiff [D, 2013-2022]",0.5,0.8,0.2857142857142857,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.5714285714285714,0.4,0.0,1.0,1.0,0.5,0.0,1.0,D, Adam Schiff ,Schiff,Adam,"Rep. Adam Schiff [D, 2013-2022]",Democrat,0.25,0.3333333333333333,0.6,1.0
4680057,D,Q3620422,Tony_Cárdenas,Tony Cardenas,male,hispanic,,1963-03-31,,"34.2625,-118.42611",,4,True,True,True,True,Tony,Cardenas,TonyCardenasD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408917,D,Q672919,Brad_Sherman,Brad Sherman,male,white,judaism,1954-10-24,,"34.04917,-118.13556",,4,True,True,True,True,Brad,Sherman,BradShermanD,,,,,,,,,,,400371.0,"Rep. Brad Sherman [D, 2013-2022]",0.5,0.8,0.42857142857142855,1.0,0.6666666666666666,0.3333333333333333,0.5555555555555556,1.0,0.7142857142857143,0.4,0.0,1.0,0.6666666666666666,0.75,0.3333333333333333,1.0,D, Brad Sherman ,Sherman,Brad,"Rep. Brad Sherman [D, 2013-2022]",Democrat,0.5,0.3333333333333333,0.8,1.0
409037,D,Q469139,Grace_Napolitano,Grace Napolitano,female,hispanic,catholicism,1936-12-04,,"25.93028,-97.48444",,4,True,True,True,True,Grace,Napolitano,GraceNapolitanoD,,,,,,,,,,,400290.0,"Rep. Grace Napolitano [D, 2013-2022]",0.3333333333333333,0.8,0.2857142857142857,0.75,0.3333333333333333,0.3333333333333333,0.4444444444444444,1.0,0.5714285714285714,0.4,0.5,1.0,0.6666666666666666,0.25,0.6666666666666666,1.0,D, Grace Napolitano ,Napolitano,Grace,"Rep. Grace Napolitano [D, 2013-2022]",Democrat,0.0,0.6666666666666666,0.6,0.5
4908339,D,Q3701994,Raul_Ruiz_(politician),Raul Ruiz,male,hispanic,,1972-08-25,,"22.77167,-102.57528",,4,True,True,True,True,Raul,Ruiz,RaulRuizD,,,,,,,,,,,412519.0,"Rep. Raul Ruiz [D, 2013-2022]",0.6666666666666666,0.8,0.2857142857142857,1.0,0.6666666666666666,0.3333333333333333,0.5555555555555556,1.0,0.7142857142857143,0.6,0.0,1.0,0.6666666666666666,0.25,0.0,1.0,D, Raul Ruiz ,Ruiz,Raul,"Rep. Raul Ruiz [D, 2013-2022]",Democrat,0.5,0.6666666666666666,0.8,1.0
8722536,D,Q461739,Karen_Bass,Karen Bass,female,black,,1953-10-03,,"34.05,-118.25",,4,True,True,True,True,Karen,Bass,KarenBassD,,,,,,,,,,,412404.0,"Rep. Karen Bass [D, 2013-2022]",0.3333333333333333,0.8,0.2857142857142857,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.5714285714285714,0.4,0.0,1.0,0.3333333333333333,0.25,0.0,0.6666666666666666,D, Karen Bass ,Bass,Karen,"Rep. Karen Bass [D, 2013-2022]",Democrat,0.0,0.3333333333333333,0.6,1.0
409644,D,Q291143,Linda_Sánchez,Linda Sánchez,female,hispanic,catholicism,1969-01-28,,"33.80306,-117.8325",,4,True,True,True,True,Linda,Sánchez,LindaSánchezD,,,,,,,,,,,400355.0,"Rep. Linda Sánchez [D, 2013-2022]",0.3333333333333333,0.8,0.14285714285714285,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.5714285714285714,0.4,0.0,1.0,0.6666666666666666,0.25,0.0,0.6666666666666666,D, Linda Sánchez ,Sánchez,Linda,"Rep. Linda Sánchez [D, 2013-2022]",Democrat,0.0,0.3333333333333333,0.6,1.0
