,person,Year,party_short,donations_dollars,partyline_percent,donations_dollars_lag,data_use,MODELING_GROUP,democrat,Donation_Change
202,86,2014-01-01,D,0.0,0.3333333333333333,0.0,0.9670000000000001,TESTING,1,0.0
201,86,2016-01-01,D,0.0,0.6,0.0,0.9670000000000001,TESTING,1,0.0
200,86,2018-01-01,D,0.0,1.0,,0.9670000000000001,TESTING,1,0.0
204,89,2012-01-01,D,0.0,0.0,0.0,0.0775,TRAINING,1,0.0
205,89,2014-01-01,D,0.0,0.3333333333333333,0.0,0.0775,TRAINING,1,0.0
206,89,2016-01-01,D,0.0,0.6,0.0,0.0775,TRAINING,1,0.0
207,89,2018-01-01,D,0.0,1.0,,0.0775,TRAINING,1,0.0
208,90,2012-01-01,D,0.0,0.25,0.0,0.8226,TESTING,1,0.0
209,90,2014-01-01,D,0.0,0.3333333333333333,0.0,0.8226,TESTING,1,0.0
210,90,2016-01-01,D,0.0,0.6,0.0,0.8226,TESTING,1,0.0
211,90,2018-01-01,D,0.0,1.0,,0.8226,TESTING,1,0.0
214,91,2012-01-01,D,0.0,0.0,0.0,0.3152,TRAINING,1,0.0
215,91,2014-01-01,D,0.0,0.3333333333333333,0.0,0.3152,TRAINING,1,0.0
212,91,2016-01-01,D,0.0,0.8,2000.0,0.3152,TRAINING,1,2000.0
213,91,2018-01-01,D,2000.0,1.0,,0.3152,TRAINING,1,0.0
218,94,2012-01-01,D,0.0,0.75,0.0,0.1585,TRAINING,1,0.0
219,94,2014-01-01,D,0.0,0.6666666666666666,0.0,0.1585,TRAINING,1,0.0
216,94,2016-01-01,D,0.0,0.8,0.0,0.1585,TRAINING,1,0.0
217,94,2018-01-01,D,0.0,1.0,,0.1585,TRAINING,1,0.0
223,95,2012-01-01,D,2500.0,0.5,0.0,0.3943,TRAINING,1,-2500.0
222,95,2014-01-01,D,0.0,0.3333333333333333,6000.0,0.3943,TRAINING,1,6000.0
221,95,2016-01-01,D,6000.0,0.8,3515.0,0.3943,TRAINING,1,-2485.0
220,95,2018-01-01,D,3515.0,1.0,,0.3943,TRAINING,1,0.0
224,99,2012-01-01,D,0.0,0.25,0.0,0.7555,TESTING,1,0.0
225,99,2014-01-01,D,0.0,0.3333333333333333,0.0,0.7555,TESTING,1,0.0
226,99,2016-01-01,D,0.0,0.8,0.0,0.7555,TESTING,1,0.0
227,99,2018-01-01,D,0.0,1.0,,0.7555,TESTING,1,0.0
228,101,2012-01-01,D,0.0,0.0,0.0,0.3073,TRAINING,1,0.0
229,101,2014-01-01,D,0.0,0.3333333333333333,0.0,0.3073,TRAINING,1,0.0
230,101,2016-01-01,D,0.0,0.8,0.0,0.3073,TRAINING,1,0.0
231,101,2018-01-01,D,0.0,1.0,,0.3073,TRAINING,1,0.0
234,102,2012-01-01,D,0.0,0.75,0.0,0.1021,TRAINING,1,0.0
235,102,2014-01-01,D,0.0,0.6666666666666666,0.0,0.1021,TRAINING,1,0.0
232,102,2016-01-01,D,0.0,0.8,0.0,0.1021,TRAINING,1,0.0
233,102,2018-01-01,D,0.0,1.0,,0.1021,TRAINING,1,0.0
236,103,2012-01-01,D,0.0,0.0,0.0,0.3843,TRAINING,1,0.0
237,103,2014-01-01,D,0.0,0.3333333333333333,0.0,0.3843,TRAINING,1,0.0
238,103,2016-01-01,D,0.0,0.4,0.0,0.3843,TRAINING,1,0.0
239,103,2018-01-01,D,0.0,1.0,,0.3843,TRAINING,1,0.0
240,104,2012-01-01,D,0.0,0.25,2500.0,0.7989,TESTING,1,2500.0
241,104,2014-01-01,D,2500.0,0.3333333333333333,0.0,0.7989,TESTING,1,-2500.0
242,104,2016-01-01,D,0.0,0.6,0.0,0.7989,TESTING,1,0.0
243,104,2018-01-01,D,0.0,1.0,,0.7989,TESTING,1,0.0
244,106,2012-01-01,D,0.0,0.0,0.0,0.9692,TESTING,1,0.0
245,106,2014-01-01,D,0.0,0.3333333333333333,0.0,0.9692,TESTING,1,0.0
246,106,2016-01-01,D,0.0,0.8,0.0,0.9692,TESTING,1,0.0
247,106,2018-01-01,D,0.0,1.0,,0.9692,TESTING,1,0.0
251,107,2012-01-01,D,0.0,0.25,0.0,0.6873,TESTING,1,0.0
250,107,2014-01-01,D,0.0,0.3333333333333333,0.0,0.6873,TESTING,1,0.0
249,107,2016-01-01,D,0.0,0.6,0.0,0.6873,TESTING,1,0.0
248,107,2018-01-01,D,0.0,1.0,,0.6873,TESTING,1,0.0
252,108,2012-01-01,D,0.0,0.75,0.0,0.5675,TESTING,1,0.0
253,108,2014-01-01,D,0.0,0.0,0.0,0.5675,TESTING,1,0.0
254,108,2016-01-01,D,0.0,0.8,0.0,0.5675,TESTING,1,0.0
255,108,2018-01-01,D,0.0,1.0,,0.5675,TESTING,1,0.0
256,109,2012-01-01,D,0.0,0.0,0.0,0.0161,TRAINING,1,0.0
257,109,2014-01-01,D,0.0,0.3333333333333333,0.0,0.0161,TRAINING,1,0.0
258,109,2016-01-01,D,0.0,0.8,0.0,0.0161,TRAINING,1,0.0
259,109,2018-01-01,D,0.0,1.0,,0.0161,TRAINING,1,0.0
260,110,2012-01-01,D,0.0,0.5,3500.0,0.4297,TRAINING,1,3500.0
261,110,2014-01-01,D,3500.0,0.3333333333333333,0.0,0.4297,TRAINING,1,-3500.0
262,110,2016-01-01,D,0.0,0.8,0.0,0.4297,TRAINING,1,0.0
263,110,2018-01-01,D,0.0,1.0,,0.4297,TRAINING,1,0.0
266,113,2012-01-01,D,0.0,0.5,0.0,0.0995,TRAINING,1,0.0
267,113,2014-01-01,D,0.0,0.3333333333333333,0.0,0.0995,TRAINING,1,0.0
265,113,2016-01-01,D,0.0,0.8,5.0,0.0995,TRAINING,1,5.0
264,113,2018-01-01,D,5.0,1.0,,0.0995,TRAINING,1,0.0
268,114,2012-01-01,D,0.0,0.25,0.0,0.7629,TESTING,1,0.0
269,114,2014-01-01,D,0.0,0.3333333333333333,1000.0,0.7629,TESTING,1,1000.0
270,114,2016-01-01,D,1000.0,0.6,0.0,0.7629,TESTING,1,-1000.0
271,114,2018-01-01,D,0.0,1.0,,0.7629,TESTING,1,0.0
272,115,2012-01-01,D,0.0,0.0,0.0,0.9467,TESTING,1,0.0
273,115,2014-01-01,D,0.0,0.3333333333333333,0.0,0.9467,TESTING,1,0.0
274,115,2016-01-01,D,0.0,0.8,0.0,0.9467,TESTING,1,0.0
275,115,2018-01-01,D,0.0,1.0,,0.9467,TESTING,1,0.0
279,119,2012-01-01,D,0.0,0.0,0.0,0.1016,TRAINING,1,0.0
278,119,2014-01-01,D,0.0,0.3333333333333333,2000.0,0.1016,TRAINING,1,2000.0
277,119,2016-01-01,D,2000.0,0.6,3500.0,0.1016,TRAINING,1,1500.0
276,119,2018-01-01,D,3500.0,1.0,,0.1016,TRAINING,1,0.0
280,120,2012-01-01,D,0.0,0.25,0.0,0.7869,TESTING,1,0.0
281,120,2014-01-01,D,0.0,0.3333333333333333,0.0,0.7869,TESTING,1,0.0
282,120,2016-01-01,D,0.0,0.6,0.0,0.7869,TESTING,1,0.0
283,120,2018-01-01,D,0.0,1.0,,0.7869,TESTING,1,0.0
284,121,2012-01-01,D,0.0,0.25,0.0,0.6439,TESTING,1,0.0
285,121,2014-01-01,D,0.0,0.3333333333333333,0.0,0.6439,TESTING,1,0.0
286,121,2016-01-01,D,0.0,0.8,0.0,0.6439,TESTING,1,0.0
287,121,2018-01-01,D,0.0,1.0,,0.6439,TESTING,1,0.0
290,123,2012-01-01,D,0.0,0.5,0.0,0.7892,TESTING,1,0.0
291,123,2014-01-01,D,0.0,0.3333333333333333,0.0,0.7892,TESTING,1,0.0
288,123,2016-01-01,D,0.0,0.8,0.0,0.7892,TESTING,1,0.0
289,123,2018-01-01,D,0.0,1.0,,0.7892,TESTING,1,0.0
292,124,2012-01-01,D,0.0,0.25,0.0,0.6863,TESTING,1,0.0
293,124,2014-01-01,D,0.0,0.3333333333333333,0.0,0.6863,TESTING,1,0.0
294,124,2016-01-01,D,0.0,0.8,0.0,0.6863,TESTING,1,0.0
295,124,2018-01-01,D,0.0,1.0,,0.6863,TESTING,1,0.0
296,125,2012-01-01,D,250.0,0.0,0.0,0.7916,TESTING,1,-250.0
297,125,2014-01-01,D,0.0,0.3333333333333333,0.0,0.7916,TESTING,1,0.0
298,125,2016-01-01,D,0.0,0.4,650.0,0.7916,TESTING,1,650.0
299,125,2018-01-01,D,650.0,1.0,,0.7916,TESTING,1,0.0
301,134,2012-01-01,D,0.0,0.0,0.0,0.8529,TESTING,1,0.0
302,134,2014-01-01,D,0.0,0.3333333333333333,0.0,0.8529,TESTING,1,0.0
303,134,2016-01-01,D,0.0,0.6,0.0,0.8529,TESTING,1,0.0
300,134,2018-01-01,D,0.0,1.0,,0.8529,TESTING,1,0.0
306,136,2012-01-01,D,0.0,0.5,0.0,0.0878,TRAINING,1,0.0
307,136,2014-01-01,D,0.0,0.3333333333333333,0.0,0.0878,TRAINING,1,0.0
305,136,2016-01-01,D,0.0,0.8,0.0,0.0878,TRAINING,1,0.0
304,136,2018-01-01,D,0.0,0.5,,0.0878,TRAINING,1,0.0
308,137,2012-01-01,D,0.0,0.25,0.0,0.9268,TESTING,1,0.0
309,137,2014-01-01,D,0.0,0.3333333333333333,0.0,0.9268,TESTING,1,0.0
310,137,2016-01-01,D,0.0,0.6,0.0,0.9268,TESTING,1,0.0
311,137,2018-01-01,D,0.0,1.0,,0.9268,TESTING,1,0.0
312,138,2012-01-01,D,0.0,0.25,0.0,0.4887,TRAINING,1,0.0
313,138,2014-01-01,D,0.0,0.3333333333333333,0.0,0.4887,TRAINING,1,0.0
314,138,2016-01-01,D,0.0,0.8,0.0,0.4887,TRAINING,1,0.0
315,138,2018-01-01,D,0.0,1.0,,0.4887,TRAINING,1,0.0
319,139,2012-01-01,D,0.0,0.25,0.0,0.4859,TRAINING,1,0.0
318,139,2014-01-01,D,0.0,0.3333333333333333,0.0,0.4859,TRAINING,1,0.0
317,139,2016-01-01,D,0.0,0.8,0.0,0.4859,TRAINING,1,0.0
316,139,2018-01-01,D,0.0,1.0,,0.4859,TRAINING,1,0.0
320,141,2012-01-01,D,2000.0,0.25,3000.0,0.6331,TESTING,1,1000.0
321,141,2014-01-01,D,3000.0,0.3333333333333333,2000.0,0.6331,TESTING,1,-1000.0
322,141,2016-01-01,D,2000.0,0.6,1000.0,0.6331,TESTING,1,-1000.0
323,141,2018-01-01,D,1000.0,1.0,,0.6331,TESTING,1,0.0
