person,Year,party_short,donations_dollars,partyline_percent
269,2014,R,3000.0,0.6666666666666666
271,2014,R,0.0,0.6666666666666666
273,2014,R,0.0,0.3333333333333333
280,2014,R,0.0,0.6666666666666666
281,2014,R,0.0,0.6666666666666666
282,2014,R,0.0,0.6666666666666666
285,2014,R,0.0,0.6666666666666666
287,2014,R,0.0,0.6666666666666666
289,2014,R,0.0,0.6666666666666666
295,2014,R,5000.0,0.6666666666666666
296,2014,R,0.0,0.6666666666666666
297,2014,R,0.0,0.6666666666666666
299,2014,R,0.0,0.6666666666666666
301,2014,R,0.0,0.6666666666666666
302,2014,R,0.0,0.6666666666666666
303,2014,R,1000.0,0.6666666666666666
307,2014,R,1500.0,0.6666666666666666
312,2014,R,2500.0,0.6666666666666666
314,2014,R,0.0,0.6666666666666666
317,2014,R,0.0,0.3333333333333333
319,2014,R,0.0,0.3333333333333333
320,2014,R,0.0,0.6666666666666666
322,2014,R,1000.0,0.6666666666666666
326,2014,R,0.0,0.6666666666666666
327,2014,R,0.0,0.6666666666666666
329,2014,R,0.0,0.6666666666666666
330,2014,R,0.0,1.0
331,2014,R,0.0,0.3333333333333333
332,2014,R,0.0,0.3333333333333333
333,2014,R,0.0,0.6666666666666666
336,2014,R,0.0,0.6666666666666666
338,2014,R,0.0,0.6666666666666666
342,2014,R,11250.0,0.6666666666666666
344,2014,R,0.0,0.6666666666666666
345,2014,R,0.0,0.6666666666666666
347,2014,R,1000.0,0.6666666666666666
350,2014,R,0.0,0.6666666666666666
357,2014,R,0.0,0.6666666666666666
358,2014,R,0.0,0.3333333333333333
360,2014,R,0.0,0.6666666666666666
361,2014,R,0.0,0.6666666666666666
369,2014,R,500.0,0.6666666666666666
370,2014,R,0.0,0.6666666666666666
372,2014,R,0.0,0.6666666666666666
374,2014,R,500.0,0.6666666666666666
376,2014,R,1000.0,0.6666666666666666
378,2014,R,0.0,0.6666666666666666
383,2014,R,0.0,0.6666666666666666
386,2014,R,0.0,0.6666666666666666
390,2014,R,0.0,0.6666666666666666
391,2014,R,0.0,0.6666666666666666
392,2014,R,0.0,0.6666666666666666
393,2014,R,0.0,0.3333333333333333
395,2014,R,0.0,0.6666666666666666
396,2014,R,0.0,0.3333333333333333
398,2014,R,0.0,0.6666666666666666
399,2014,R,0.0,1.0
401,2014,R,0.0,0.6666666666666666
403,2014,R,2250.0,0.6666666666666666
404,2014,R,0.0,0.6666666666666666
405,2014,R,0.0,0.6666666666666666
406,2014,R,0.0,0.6666666666666666
410,2014,R,0.0,0.6666666666666666
412,2014,R,0.0,0.6666666666666666
414,2014,R,0.0,0.6666666666666666
415,2014,R,2500.0,0.6666666666666666
417,2014,R,0.0,0.6666666666666666
418,2014,R,0.0,0.6666666666666666
419,2014,R,0.0,0.6666666666666666
421,2014,R,0.0,0.6666666666666666
422,2014,R,0.0,0.6666666666666666
424,2014,R,0.0,0.6666666666666666
426,2014,R,0.0,0.6666666666666666
427,2014,R,0.0,0.6666666666666666
428,2014,R,1000.0,0.6666666666666666
430,2014,R,0.0,0.6666666666666666
432,2014,D,0.0,0.3333333333333333
433,2014,D,0.0,0.3333333333333333
505,2014,D,0.0,
536,2014,R,11250.0,
540,2014,R,2500.0,
588,2014,D,0.0,
654,2014,R,0.0,
656,2014,R,500.0,
660,2014,R,0.0,
4,2016,D,0.0,0.4
10,2016,D,2000.0,0.6
12,2016,D,0.0,0.8
14,2016,D,0.0,0.4
15,2016,D,0.0,0.2
16,2016,D,0.0,0.8
17,2016,D,0.0,0.8
18,2016,D,0.0,0.6
19,2016,D,0.0,0.8
21,2016,D,0.0,0.4
