party_short,donations_dollars,partyline_percent,donations_dollars_lag,data_use,MODELING_GROUP,democrat
D,5200.0,0.3333333333333333,0.0,0.2695,TRAINING,1
D,0.0,0.6,0.0,0.2695,TRAINING,1
D,0.0,1.0,,0.2695,TRAINING,1
D,0.0,1.0,,0.9687,TESTING,1
D,0.0,0.5,0.0,0.9687,TESTING,1
D,0.0,0.6666666666666666,4200.0,0.9687,TESTING,1
D,4200.0,0.8,0.0,0.9687,TESTING,1
D,0.0,1.0,,0.5258,TRAINING,1
D,0.0,0.6,0.0,0.5258,TRAINING,1
D,1000.0,0.3333333333333333,0.0,0.5258,TRAINING,1
D,0.0,0.0,1000.0,0.5258,TRAINING,1
D,5272.0,1.0,,0.5618,TESTING,1
D,450.0,0.5,2000.0,0.5618,TESTING,1
D,2000.0,0.3333333333333333,2725.0,0.5618,TESTING,1
D,2725.0,0.8,5272.0,0.5618,TESTING,1
D,3300.0,0.6666666666666666,800.0,0.6736,TESTING,1
D,800.0,0.8,0.0,0.6736,TESTING,1
D,950.0,0.5,3300.0,0.6736,TESTING,1
D,0.0,1.0,,0.6736,TESTING,1
D,0.0,1.0,,0.0391,TRAINING,1
D,0.0,0.6,0.0,0.0391,TRAINING,1
D,0.0,0.3333333333333333,0.0,0.0391,TRAINING,1
D,2500.0,0.0,0.0,0.0391,TRAINING,1
D,1000.0,0.0,0.0,0.5892,TESTING,1
D,0.0,0.3333333333333333,0.0,0.5892,TESTING,1
D,0.0,0.6,0.0,0.5892,TESTING,1
D,0.0,1.0,,0.5892,TESTING,1
D,0.0,0.0,0.0,0.3561,TRAINING,1
D,0.0,0.3333333333333333,0.0,0.3561,TRAINING,1
D,0.0,0.6,0.0,0.3561,TRAINING,1
D,0.0,1.0,,0.3561,TRAINING,1
D,3005.0,1.0,,0.6184,TESTING,1
D,3500.0,0.8,3005.0,0.6184,TESTING,1
D,4600.0,0.6666666666666666,3500.0,0.6184,TESTING,1
D,0.0,0.5,4600.0,0.6184,TESTING,1
D,0.0,0.25,0.0,0.3099,TRAINING,1
D,0.0,0.3333333333333333,0.0,0.3099,TRAINING,1
D,0.0,0.0,0.0,0.3099,TRAINING,1
D,0.0,0.0,,0.3099,TRAINING,1
D,0.0,0.0,500.0,0.6278,TESTING,1
D,500.0,0.3333333333333333,31.0,0.6278,TESTING,1
D,31.0,0.8,170.0,0.6278,TESTING,1
D,170.0,1.0,,0.6278,TESTING,1
D,0.0,0.8,15.0,0.8392,TESTING,1
D,15.0,1.0,,0.8392,TESTING,1
D,0.0,0.75,0.0,0.8392,TESTING,1
D,0.0,0.3333333333333333,0.0,0.8392,TESTING,1
D,0.0,0.0,0.0,0.3104,TRAINING,1
D,0.0,0.3333333333333333,0.0,0.3104,TRAINING,1
D,0.0,0.6,0.0,0.3104,TRAINING,1
D,0.0,1.0,,0.3104,TRAINING,1
D,0.0,0.5,1000.0,0.7215,TESTING,1
D,1000.0,0.3333333333333333,1000.0,0.7215,TESTING,1
