House Vote #151 2015-04-14T17:55:00 - H.R. 650: Preserving Access to Manufactured Housing Act of 2015
person,state,district,vote,name,party
412431,KS,4,Yea,"Rep. Mike Pompeo [R, 2011-2017]",Republican
412432,LA,2,Nay,"Rep. Cedric Richmond [D, 2011-2021]",Democrat
412434,MD,1,Yea,"Rep. Andy Harris [R, 2011-2022]",Republican
412435,MA,9,Nay,"Rep. William Keating [D, 2013-2022]",Democrat
412436,MI,1,Yea,"Rep. Dan Benishek [R, 2011-2016]",Republican
412437,MI,2,Yea,"Rep. Bill Huizenga [R, 2011-2022]",Republican
412438,MI,3,Yea,"Rep. Justin Amash [R, 2011-2020]",Republican
412443,MS,4,Yea,"Rep. Steven Palazzo [R, 2011-2022]",Republican
412444,MO,4,Yea,"Rep. Vicky Hartzler [R, 2011-2022]",Republican
412445,MO,7,Yea,"Rep. Billy Long [R, 2011-2022]",Republican
412446,NV,3,Yea,"Rep. Joseph Heck [R, 2011-2016]",Republican
412447,NH,1,Yea,"Rep. Frank Guinta [R, 2015-2016]",Republican
412453,NY,19,Yea,"Rep. Christopher Gibson [R, 2013-2016]",Republican
412454,NY,22,Yea,"Rep. Richard Hanna [R, 2013-2016]",Republican
412457,NC,2,Yea,"Rep. Renee Ellmers [R, 2011-2016]",Republican
412460,OH,6,Yea,"Rep. Bill Johnson [R, 2011-2022]",Republican
412461,OH,15,Yea,"Rep. Steve Stivers [R, 2011-2022]",Republican
412462,OH,16,Yea,"Rep. James Renacci [R, 2011-2018]",Republican
412463,OH,7,Yea,"Rep. Bob Gibbs [R, 2013-2022]",Republican
412465,PA,3,Yea,"Rep. Mike Kelly [R, 2011-2018]",Republican
412466,PA,7,Yea,"Rep. Patrick Meehan [R, 2011-2018]",Republican
412468,PA,10,Yea,"Rep. Tom Marino [R, 2011-2018]",Republican
412469,PA,11,Yea,"Rep. Lou Barletta [R, 2011-2018]",Republican
412470,RI,1,Nay,"Rep. David Cicilline [D, 2011-2022]",Democrat
412472,SC,3,Not Voting,"Rep. Jeff Duncan [R, 2011-2022]",Republican
412473,SC,4,Yea,"Rep. Trey Gowdy [R, 2011-2018]",Republican
412474,SC,5,Yea,"Rep. Mick Mulvaney [R, 2011-2017]",Republican
412475,SD,0,Yea,"Rep. Kristi Noem [R, 2011-2018]",Republican
412476,TN,3,Yea,"Rep. Charles “Chuck” Fleischmann [R, 2011-2022]",Republican
412477,TN,4,Yea,"Rep. Scott DesJarlais [R, 2011-2022]",Republican
412478,TN,6,Yea,"Rep. Diane Black [R, 2011-2018]",Republican
412479,TN,8,Yea,"Rep. Stephen Fincher [R, 2011-2016]",Republican
412480,TX,17,Yea,"Rep. Bill Flores [R, 2011-2020]",Republican
412482,TX,27,Yea,"Rep. Blake Farenthold [R, 2011-2018]",Republican
412483,VA,2,Yea,"Rep. Edward “Scott” Rigell [R, 2011-2016]",Republican
412484,VA,5,Yea,"Rep. Robert Hurt [R, 2011-2016]",Republican
412485,VA,9,Yea,"Rep. Morgan Griffith [R, 2011-2022]",Republican
412486,WA,3,Yea,"Rep. Jaime Herrera Beutler [R, 2011-2022]",Republican
412487,WV,1,Yea,"Rep. David McKinley [R, 2011-2022]",Republican
