pageid,party_x,wikidataid,wikititle,name,sex,ethnicity,religion,birth,death,birthplace,deathplace,Number_Sessions_Served,Session_113,Session_114,Session_115,Session_116,first,last,ID_NameParty,party_y,Bloomberg_donations2012,Bloomberg_donations2014,Bloomberg_donations2016,Bloomberg_donations2018,party,Citadel_donations2012,Citadel_donations2014,Citadel_donations2016,Citadel_donations2018
35915364,D,Q723148,Cheri_Bustos,Cheri Bustos,female,white,,1961-10-17,,"39.78333,-89.65028",,4,True,True,True,True,Cheri,Bustos,CheriBustosD,D,0.0,0.0,0.0,404.0,D,0.0,0.0,0.0,404.0
391317,D,Q514660,Pete_Visclosky,Peter J. Visclosky,male,white,catholicism,1949-08-13,,"41.58083,-87.34556",,4,True,True,True,True,Peter,Visclosky,PeterViscloskyD,,,,,,,,,,
7426512,R,Q3157413,Jackie_Walorski,Jackie Walorski,female,white,protestantism evangelical,1963-08-17,,"41.67639,-86.25028",,4,True,True,True,True,Jackie,Walorski,JackieWalorskiR,,,,,,,,,,
35769832,R,Q3225324,Susan_Brooks,Susan Brooks,female,white,,1960-08-25,,"41.36699,-85.05886",,4,True,True,True,True,Susan,Brooks,SusanBrooksR,,,,,,,,,,
30205998,D,Q517649,André_Carson,André Carson,male,black,islam,1974-10-16,,"39.76778,-86.15806",,4,True,True,True,True,André,Carson,AndréCarsonD,,,,,,,,,,
27864627,R,Q944286,Larry_Bucshon,Larry Bucshon,male,white,protestantism lutheran,1962-05-31,,"39.54083,-89.28806",,4,True,True,True,True,Larry,Bucshon,LarryBucshonR,,,,,,,,,,
6872479,D,Q771586,Dave_Loebsack,David Loebsack,male,white,,1952-12-23,,"42.49806,-96.39556",,4,True,True,True,True,David,Loebsack,DavidLoebsackD,,,,,,,,,,
412938,R,Q749710,Steve_King,Steve King,male,white,catholicism,1949-05-28,,"42.64361,-95.20194",,4,True,True,True,True,Steve,King,SteveKingR,,,,,,,,,,
16905071,R,Q910794,Brett_Guthrie,Brett Guthrie,male,white,,1964-02-18,,"34.82028,-87.66278",,4,True,True,True,True,Brett,Guthrie,BrettGuthrieR,,,,,,,,,,
3983746,D,Q699970,John_Yarmuth,John Yarmuth,male,white,judaism,1947-11-04,,"38.25417,-85.76028",,4,True,True,True,True,John,Yarmuth,JohnYarmuthD,,,,,,,,,,
28005891,R,Q2426031,Thomas_Massie,Thomas Massie,male,white,,1971-01-13,,"38.42083,-82.42361",,4,True,True,True,True,Thomas,Massie,ThomasMassieR,,,,,,,,,,
414448,R,Q547153,Hal_Rogers,Hal Rogers,male,white,protestantism baptist,1937-12-31,,"36.76889,-84.76722",,4,True,True,True,True,Hal,Rogers,HalRogersR,,,,,,,,,,
37570631,R,Q3828645,Andy_Barr_(American_politician),Andy Barr,male,white,,1973-07-24,,"38.02972,-84.49472",,4,True,True,True,True,Andy,Barr,AndyBarrR,,,,,,,,,,
4228818,R,Q1857141,Steve_Scalise,Steve Scalise,male,white,,1965-10-06,,"29.96667,-90.05",,4,True,True,True,True,Steve,Scalise,SteveScaliseR,R,0.0,0.0,0.0,1000.0,R,0.0,0.0,0.0,1000.0
26323292,D,Q561284,Cedric_Richmond,Cedric Richmond,male,black,,1973-09-13,,"29.96667,-90.05",,4,True,True,True,True,Cedric,Richmond,CedricRichmondD,,,,,,,,,,
1609874,D,Q457243,Chellie_Pingree,Chellie Pingree,female,white,protestantism evangelical,1955-04-02,,"44.9733,-93.2643",,4,True,True,True,True,Chellie,Pingree,ChelliePingreeD,,,,,,,,,,
9338058,R,Q506639,Andy_Harris_(politician),Andrew Harris,male,white,,1957-01-25,,"40.69278,-73.99028",,4,True,True,True,True,Andrew,Harris,AndrewHarrisR,,,,,,,,,,
414531,D,Q981559,Dutch_Ruppersberger,Dutch Ruppersberger,male,white,protestantism methodist,1946-01-31,,"39.28639,-76.615",,4,True,True,True,True,Dutch,Ruppersberger,DutchRuppersbergerD,,,,,,,,,,
3227358,D,Q984509,John_Sarbanes,John Sarbanes,male,white,,1962-05-22,,"39.28639,-76.615",,4,True,True,True,True,John,Sarbanes,JohnSarbanesD,,,,,,,,,,
414552,D,Q516515,Steny_Hoyer,Steny H. Hoyer,male,white,protestantism baptist,1939-06-14,,"40.67,-73.94",,4,True,True,True,True,Steny,Hoyer,StenyHoyerD,,,,,,,,,,
414574,D,Q934898,Elijah_Cummings,Elijah Cummings,male,black,protestantism baptist,1951-01-18,,"39.28639,-76.615",,4,True,True,True,True,Elijah,Cummings,ElijahCummingsD,,,,,,,,,,
440800,D,Q1464697,Richard_Neal,Richard E. Neal,male,white,catholicism,1949-02-14,,"42.11241,-72.54745",,4,True,True,True,True,Richard,Neal,RichardNealD,,,,,,,,,,
440807,D,Q1337459,Jim_McGovern_(American_politician),Jim McGovern,male,white,catholicism,1959-11-20,,"42.27139,-71.79889",,4,True,True,True,True,Jim,McGovern,JimMcGovernD,,,,,,,,,,
34500244,D,Q1707784,Joe_Kennedy_III,Joseph P. Kennedy III,male,white,,1980-10-04,,"42.35,-71.16",,4,True,True,True,True,Joseph,III,JosephIIID,,,,,,,,,,
29642899,D,Q6376330,Katherine_Clark,Katherine Clark,female,white,,1963-07-17,,"41.30833,-72.925",,4,True,True,True,True,Katherine,Clark,KatherineClarkD,,,,,,,,,,
440836,D,Q2344921,Stephen_F._Lynch,Stephen Lynch,male,white,catholicism,1955-03-31,,"42.35778,-71.06167",,4,True,True,True,True,Stephen,Lynch,StephenLynchD,,,,,,,,,,
25616173,D,Q775412,Bill_Keating_(politician),William Keating,male,white,,1952-09-06,,"42.19444,-71.2",,4,True,True,True,True,William,Keating,WilliamKeatingD,,,,,,,,,,
21118339,R,Q862199,Bill_Huizenga,Bill Huizenga,male,white,,1969-01-31,,"42.8125,-86.01861",,4,True,True,True,True,Bill,Huizenga,BillHuizengaR,,,,,,,,,,
27476249,R,Q1714165,Justin_Amash,Justin Amash,male,white,,1980-04-18,,"42.96125,-85.65572",,4,True,True,True,True,Justin,Amash,JustinAmashR,,,,,,,,,,
37018031,D,Q3880272,Dan_Kildee,Dan Kildee,male,white,,1958-08-11,,"43.01889,-83.69333",,4,True,True,True,True,Dan,Kildee,DanKildeeD,,,,,,,,,,
468360,R,Q505236,Fred_Upton,Fred Upton,male,white,protestantism,1953-04-23,,"42.09806,-86.48417",,4,True,True,True,True,Fred,Upton,FredUptonR,,,,,,,,,,
