person,Year,party_short,ethnicity,sex,VoteAlongRatio_Film,VoteAlongRatio_FS_IIR,VoteAlongRatio_FS_FSS,VoteAlongRatio_FS_CM,VoteAlongRatio_FS_REB,Bloomberg_Donations,Citadel_Donations,Bloomberg_donations_lagMinus1,Citadel_donations_lagMinus1
36,2012,D,hispanic,female,0.0,0.3333333333333333,0.3333333333333333,0.5714285714285714,0.6666666666666666,0.0,0.0,0.0,0.0
36,2014,D,hispanic,female,0.6666666666666666,0.8,0.3333333333333333,0.4,0.25,0.0,0.0,0.0,0.0
36,2016,D,hispanic,female,0.6,0.2857142857142857,0.4444444444444444,0.5,0.6666666666666666,0.0,0.0,0.0,0.0
36,2018,D,hispanic,female,0.5,0.75,1.0,1.0,1.0,0.0,0.0,,
37,2012,D,hispanic,male,0.5,0.6666666666666666,0.6666666666666666,0.7142857142857143,0.6666666666666666,0.0,0.0,0.0,0.0
37,2014,D,hispanic,male,0.6666666666666666,0.8,0.3333333333333333,0.6,0.25,0.0,0.0,0.0,0.0
37,2016,D,hispanic,male,0.8,0.2857142857142857,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.0
37,2018,D,hispanic,male,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,
38,2012,D,black,female,0.0,0.3333333333333333,0.3333333333333333,0.5714285714285714,0.3333333333333333,0.0,0.0,0.0,0.0
38,2014,D,black,female,0.3333333333333333,0.8,0.3333333333333333,0.4,0.25,0.0,0.0,0.0,0.0
38,2016,D,black,female,0.6,0.2857142857142857,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
38,2018,D,black,female,1.0,1.0,1.0,1.0,0.6666666666666666,0.0,0.0,,
39,2012,D,hispanic,female,0.0,0.3333333333333333,0.6666666666666666,0.5714285714285714,0.6666666666666666,0.0,0.0,0.0,0.0
39,2014,D,hispanic,female,0.3333333333333333,0.8,0.3333333333333333,0.4,0.25,0.0,0.0,0.0,0.0
39,2016,D,hispanic,female,0.6,0.14285714285714285,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
39,2018,D,hispanic,female,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,0.0,0.0,,
40,2012,D,hispanic,female,0.0,0.5,0.3333333333333333,0.5714285714285714,0.6666666666666666,0.0,0.0,0.0,0.0
40,2014,D,hispanic,female,0.3333333333333333,0.8,0.3333333333333333,0.4,0.25,0.0,0.0,0.0,0.0
40,2016,D,hispanic,female,0.6,0.2857142857142857,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
40,2018,D,hispanic,female,0.5,0.75,1.0,1.0,1.0,0.0,0.0,,
41,2012,D,asian,male,0.0,0.3333333333333333,0.3333333333333333,0.5714285714285714,0.6666666666666666,0.0,0.0,0.0,0.0
41,2014,D,asian,male,0.3333333333333333,0.6,0.0,0.2,0.0,0.0,0.0,0.0,0.0
41,2016,D,asian,male,0.6,0.2857142857142857,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
41,2018,D,asian,male,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,
42,2012,R,white,male,0.75,0.8333333333333334,0.6666666666666666,0.7142857142857143,0.6666666666666666,0.0,0.0,0.0,0.0
42,2014,R,white,male,0.6666666666666666,1.0,0.6666666666666666,0.8,1.0,0.0,0.0,0.0,0.0
42,2016,R,white,male,0.8,0.8571428571428571,0.8888888888888888,1.0,1.0,0.0,0.0,0.0,0.0
42,2018,R,white,male,0.0,0.5,0.3333333333333333,1.0,0.3333333333333333,0.0,0.0,,
43,2012,D,black,female,0.0,0.3333333333333333,0.3333333333333333,0.5714285714285714,0.6666666666666666,0.0,0.0,0.0,0.0
43,2014,D,black,female,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,2016,D,black,female,0.8,0.2857142857142857,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
43,2018,D,black,female,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,
44,2012,D,white,male,0.0,0.3333333333333333,0.3333333333333333,0.42857142857142855,0.6666666666666666,0.0,0.0,0.0,0.0
44,2014,D,white,male,0.3333333333333333,0.8,0.3333333333333333,0.4,0.5,0.0,0.0,0.0,0.0
44,2016,D,white,male,0.6,0.2857142857142857,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
44,2018,D,white,male,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,
45,2012,R,white,male,0.75,0.8333333333333334,0.6666666666666666,0.7142857142857143,0.6666666666666666,0.0,0.0,0.0,0.0
45,2014,R,white,male,0.6666666666666666,0.8,0.3333333333333333,0.6,0.75,0.0,0.0,0.0,0.0
45,2016,R,white,male,0.8,0.8571428571428571,0.8888888888888888,1.0,1.0,0.0,0.0,0.0,0.0
45,2018,R,white,male,0.0,0.0,0.3333333333333333,1.0,0.3333333333333333,0.0,0.0,,
46,2012,R,white,male,0.0,0.8333333333333334,0.6666666666666666,0.7142857142857143,0.6666666666666666,0.0,0.0,0.0,0.0
46,2014,R,white,male,0.0,0.8,0.3333333333333333,0.6,0.75,0.0,0.0,0.0,0.0
46,2016,R,white,male,0.0,0.8571428571428571,0.8888888888888888,1.0,1.0,0.0,0.0,0.0,0.0
