person_x,name,VoteAlong113thRatio_FS_IIR,VoteAlong114thRatio_FS_IIR,VoteAlong115thRatio_FS_IIR,VoteAlong116thRatio_FS_IIR,VoteAlong113thRatio_FS_FSS,VoteAlong114thRatio_FS_FSS,VoteAlong115thRatio_FS_FSS,VoteAlong116thRatio_FS_FSS,VoteAlong113thRatio_FS_CM,VoteAlong114thRatio_FS_CM,VoteAlong115thRatio_FS_CM,VoteAlong116thRatio_FS_CM,VoteAlong113thRatio_FS_REB,VoteAlong114thRatio_FS_REB,VoteAlong115thRatio_FS_REB,VoteAlong116thRatio_FS_REB,party_short,Pure_name,LastName,FirstName,ID_NameParty,first,last,party_x,pageid,wikidataid,wikititle,name_y,sex,ethnicity,religion,birth,death,birthplace,deathplace,Number_Sessions_Served,Session_113,Session_114,Session_115,Session_116,disney_donations2012,disney_donations2014,disney_donations2016,disney_donations2018,person_y,party_y,VoteAlong113thRatio_Film,VoteAlong114thRatio_Film,VoteAlong115thRatio_Film,VoteAlong116thRatio_Film
400179,"Rep. Rubén Hinojosa [D, 1997-2016]",0.3333333333333333,0.8,,,0.0,0.6666666666666666,,,0.5714285714285714,0.4,,1.0,0.3333333333333333,0.5,,,D, Rubén Hinojosa ,Hinojosa,Rubén,RubénHinojosaD,,,,,,,,,,,,,,,,,,,,,,,,400179.0,Democrat,0.25,0.6666666666666666,,
400184,"Rep. Rush Holt [D, 1999-2014]",0.3333333333333333,,,,0.3333333333333333,,,,0.5714285714285714,,,1.0,0.6666666666666666,,,,D, Rush Holt ,Holt,Rush,RushHoltD,,,,,,,,,,,,,,,,,,,,,,,,400184.0,Democrat,0.0,,,
400185,"Rep. Michael “Mike” Honda [D, 2013-2016]",0.5,0.8,,,0.0,0.3333333333333333,,,0.7142857142857143,0.4,,1.0,0.3333333333333333,0.25,,,D, Michael “Mike” Honda ,Honda,Michael,MichaelHondaD,,,,,,,,,,,,,,,,,,,,,,,,400185.0,Democrat,0.25,0.3333333333333333,,
400189,"Rep. Steny Hoyer [D, 1981-2022]",0.5,0.8,0.2857142857142857,1.0,0.6666666666666666,0.3333333333333333,0.2222222222222222,1.0,0.7142857142857143,0.4,0.0,1.0,0.6666666666666666,0.25,0.0,1.0,D, Steny Hoyer ,Hoyer,Steny,StenyHoyerD,Steny,Hoyer,D,414552.0,Q516515,Steny_Hoyer,Steny H. Hoyer,male,white,protestantism baptist,1939-06-14,,"40.67,-73.94",,4.0,True,True,True,True,4675.0,0.0,0.0,2000.0,400189.0,Democrat,0.5,0.6666666666666666,0.6,1.0
400195,"Rep. Steve Israel [D, 2013-2016]",0.5,0.8,,,0.6666666666666666,0.3333333333333333,,,0.7142857142857143,0.4,,1.0,0.6666666666666666,0.25,,,D, Steve Israel ,Israel,Steve,SteveIsraelD,,,,,,,,,,,,,,,,,,,,,,,,400195.0,Democrat,0.25,0.3333333333333333,,
400199,"Rep. Sheila Jackson Lee [D, 1995-2022]",0.3333333333333333,0.8,0.2857142857142857,1.0,0.0,0.3333333333333333,0.3333333333333333,1.0,0.5714285714285714,0.4,0.0,1.0,0.6666666666666666,0.5,0.0,1.0,D, Sheila Jackson Lee ,Lee,Sheila,SheilaLeeD,,,,,,,,,,,,,,,,,,,,,,,,400199.0,Democrat,0.25,0.3333333333333333,0.6,1.0
400204,"Rep. Eddie Johnson [D, 1993-2022]",0.3333333333333333,0.6,0.2857142857142857,0.75,0.3333333333333333,0.0,0.3333333333333333,1.0,0.42857142857142855,0.2,0.0,1.0,0.6666666666666666,0.0,0.0,1.0,D, Eddie Johnson ,Johnson,Eddie,EddieJohnsonD,Eddie,Johnson,D,961356.0,Q461526,Eddie_Bernice_Johnson,Eddie Bernice Johnson,female,black,protestantism baptist,1935-12-03,,"31.55139,-97.15583",,4.0,True,True,True,True,,,,,400204.0,Democrat,0.25,0.3333333333333333,0.8,0.5
400211,"Rep. Marcy Kaptur [D, 1983-2022]",0.3333333333333333,0.8,0.14285714285714285,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.5714285714285714,0.4,0.0,1.0,0.6666666666666666,0.25,0.0,1.0,D, Marcy Kaptur ,Kaptur,Marcy,MarcyKapturD,Marcy,Kaptur,D,766958.0,Q436537,Marcy_Kaptur,Marcy Kaptur,female,white,catholicism,1946-06-17,,"41.66667,-83.58333",,4.0,True,True,True,True,,,,,400211.0,Democrat,0.5,0.3333333333333333,0.8,1.0
400218,"Rep. Ron Kind [D, 1997-2022]",0.5,1.0,0.42857142857142855,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.7142857142857143,0.6,0.0,1.0,0.3333333333333333,0.75,0.3333333333333333,1.0,D, Ron Kind ,Kind,Ron,RonKindD,Ron,Kind,D,409010.0,Q505222,Ron_Kind,Ron Kind,male,white,protestantism lutheran,1963-03-16,,"43.81333,-91.23306",,4.0,True,True,True,True,0.0,0.0,1000.0,0.0,400218.0,Democrat,0.5,0.3333333333333333,0.2,1.0
400230,"Rep. James “Jim” Langevin [D, 2001-2022]",0.3333333333333333,0.8,0.2857142857142857,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.7142857142857143,0.4,0.0,1.0,0.6666666666666666,0.25,0.0,1.0,D, James “Jim” Langevin ,Langevin,James,JamesLangevinD,James,Langevin,D,597070.0,Q1397290,James_Langevin,James Langevin,male,white,catholicism,1964-04-22,,"41.83083,-71.415",,4.0,True,True,True,True,,,,,400230.0,Democrat,0.25,0.3333333333333333,0.8,1.0
400232,"Rep. Rick Larsen [D, 2001-2022]",0.5,0.8,0.42857142857142855,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,0.7142857142857143,0.6,0.0,1.0,0.6666666666666666,0.5,0.3333333333333333,1.0,D, Rick Larsen ,Larsen,Rick,RickLarsenD,Rick,Larsen,D,412678.0,Q503529,Rick_Larsen,Rick Larsen,male,white,protestantism methodist,1965-06-15,,"48.1811,-122.139",,4.0,True,True,True,True,,,,,400232.0,Democrat,0.25,0.3333333333333333,0.8,1.0
400233,"Rep. John Larson [D, 1999-2022]",0.3333333333333333,0.6,0.2857142857142857,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.5714285714285714,0.2,0.0,1.0,0.3333333333333333,0.25,0.0,1.0,D, John Larson ,Larson,John,JohnLarsonD,John,Larson,D,410165.0,Q357832,John_B._Larson,John Larson,male,white,catholicism,1948-07-22,,"41.76333,-72.685",,4.0,True,True,True,True,2000.0,2000.0,3300.0,0.0,400233.0,Democrat,0.25,0.3333333333333333,0.8,1.0
400237,"Rep. Barbara Lee [D, 2013-2022]",0.3333333333333333,0.8,0.14285714285714285,1.0,0.0,0.3333333333333333,0.3333333333333333,1.0,0.5714285714285714,0.4,0.0,1.0,0.6666666666666666,0.25,0.0,1.0,D, Barbara Lee ,Lee,Barbara,BarbaraLeeD,Barbara,Lee,D,408652.0,Q289317,Barbara_Lee,Barbara Lee,female,white,protestantism baptist,1946-07-16,,"31.79028,-106.42333",,4.0,True,True,True,True,0.0,0.0,0.0,1177.0,400237.0,Democrat,0.0,0.3333333333333333,0.6,1.0
400238,"Rep. Sander Levin [D, 2013-2018]",0.3333333333333333,0.8,0.2857142857142857,,0.3333333333333333,0.3333333333333333,,,0.5714285714285714,0.4,0.0,1.0,0.6666666666666666,0.25,0.0,,D, Sander Levin ,Levin,Sander,SanderLevinD,,,,,,,,,,,,,,,,,,,,,,,,400238.0,Democrat,0.25,0.3333333333333333,0.8,
400240,"Rep. John Lewis [D, 1987-2020]",0.3333333333333333,0.8,0.14285714285714285,,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.5714285714285714,0.4,0.0,1.0,0.6666666666666666,0.25,0.0,1.0,D, John Lewis ,Lewis,John,JohnLewisD,John,Lewis,D,411737.0,Q45380,John_Lewis_(civil_rights_leader),John Lewis,male,black,protestantism baptist,1940-02-21,,"31.80196,-85.96732",,4.0,True,True,True,True,0.0,0.0,0.0,3061.0,400240.0,Democrat,0.0,0.3333333333333333,0.6,0.5
400245,"Rep. Zoe Lofgren [D, 2013-2022]",0.3333333333333333,0.6,0.2857142857142857,0.75,0.3333333333333333,0.0,0.3333333333333333,1.0,0.2857142857142857,0.2,0.0,1.0,0.6666666666666666,0.0,0.0,1.0,D, Zoe Lofgren ,Lofgren,Zoe,ZoeLofgrenD,Zoe,Lofgren,D,408829.0,Q218217,Zoe_Lofgren,Zoe Lofgren,female,white,protestantism lutheran,1947-12-21,,"37.55417,-122.31306",,4.0,True,True,True,True,,,,,400245.0,Democrat,0.0,0.3333333333333333,0.4,0.5
400246,"Rep. Nita Lowey [D, 2013-2020]",0.5,0.8,0.2857142857142857,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.7142857142857143,0.4,0.0,1.0,0.6666666666666666,0.25,0.0,1.0,D, Nita Lowey ,Lowey,Nita,NitaLoweyD,Nita,Lowey,D,963528.0,Q460652,Nita_Lowey,Nita M. Lowey,female,white,judaism,1937-07-05,,"40.67,-73.94",,4.0,True,True,True,True,,,,,400246.0,Democrat,0.5,0.3333333333333333,0.8,1.0
400249,"Rep. Stephen Lynch [D, 2013-2022]",0.5,0.8,0.2857142857142857,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.5714285714285714,0.4,0.0,1.0,1.0,0.25,0.0,1.0,D, Stephen Lynch ,Lynch,Stephen,StephenLynchD,Stephen,Lynch,D,440836.0,Q2344921,Stephen_F._Lynch,Stephen Lynch,male,white,catholicism,1955-03-31,,"42.35778,-71.06167",,4.0,True,True,True,True,,,,,400249.0,Democrat,0.25,0.3333333333333333,0.8,1.0
