person,Year,party_short,donations_dollars,partyline_percent,donations_dollars_lag,data_use,MODELING_GROUP,democrat
109,2012-01-01,D,0.0,0.0,0.0,0.0161,TRAINING,1
109,2014-01-01,D,0.0,0.3333333333333333,0.0,0.0161,TRAINING,1
109,2016-01-01,D,0.0,0.8,0.0,0.0161,TRAINING,1
109,2018-01-01,D,0.0,1.0,,0.0161,TRAINING,1
110,2012-01-01,D,0.0,0.5,3500.0,0.4297,TRAINING,1
110,2014-01-01,D,3500.0,0.3333333333333333,0.0,0.4297,TRAINING,1
110,2016-01-01,D,0.0,0.8,0.0,0.4297,TRAINING,1
110,2018-01-01,D,0.0,1.0,,0.4297,TRAINING,1
113,2018-01-01,D,5.0,1.0,,0.0995,TRAINING,1
113,2016-01-01,D,0.0,0.8,5.0,0.0995,TRAINING,1
113,2012-01-01,D,0.0,0.5,0.0,0.0995,TRAINING,1
113,2014-01-01,D,0.0,0.3333333333333333,0.0,0.0995,TRAINING,1
114,2012-01-01,D,0.0,0.25,0.0,0.7629,TESTING,1
114,2014-01-01,D,0.0,0.3333333333333333,1000.0,0.7629,TESTING,1
114,2016-01-01,D,1000.0,0.6,0.0,0.7629,TESTING,1
114,2018-01-01,D,0.0,1.0,,0.7629,TESTING,1
115,2012-01-01,D,0.0,0.0,0.0,0.9467,TESTING,1
115,2014-01-01,D,0.0,0.3333333333333333,0.0,0.9467,TESTING,1
115,2016-01-01,D,0.0,0.8,0.0,0.9467,TESTING,1
115,2018-01-01,D,0.0,1.0,,0.9467,TESTING,1
119,2018-01-01,D,3500.0,1.0,,0.1016,TRAINING,1
119,2016-01-01,D,2000.0,0.6,3500.0,0.1016,TRAINING,1
119,2014-01-01,D,0.0,0.3333333333333333,2000.0,0.1016,TRAINING,1
119,2012-01-01,D,0.0,0.0,0.0,0.1016,TRAINING,1
120,2012-01-01,D,0.0,0.25,0.0,0.7869,TESTING,1
120,2014-01-01,D,0.0,0.3333333333333333,0.0,0.7869,TESTING,1
120,2016-01-01,D,0.0,0.6,0.0,0.7869,TESTING,1
120,2018-01-01,D,0.0,1.0,,0.7869,TESTING,1
121,2012-01-01,D,0.0,0.25,0.0,0.6439,TESTING,1
121,2014-01-01,D,0.0,0.3333333333333333,0.0,0.6439,TESTING,1
121,2016-01-01,D,0.0,0.8,0.0,0.6439,TESTING,1
121,2018-01-01,D,0.0,1.0,,0.6439,TESTING,1
123,2016-01-01,D,0.0,0.8,0.0,0.7892,TESTING,1
123,2018-01-01,D,0.0,1.0,,0.7892,TESTING,1
123,2012-01-01,D,0.0,0.5,0.0,0.7892,TESTING,1
123,2014-01-01,D,0.0,0.3333333333333333,0.0,0.7892,TESTING,1
