person,Year,disney_donations,VoteAlongRatio_Film,VoteAlongRatio_FS_IIR,VoteAlongRatio_FS_FSS,VoteAlongRatio_FS_CM,VoteAlongRatio_FS_REB,disney_donations_lagMinus1,disney_donations_lagPlus1,sex_female,sex_male,ethnicity_asian,ethnicity_black,ethnicity_hispanic,ethnicity_islander,ethnicity_native,ethnicity_white,party_short_D,party_short_R,data_use,MODELING_GROUP
41,2012,0.0,0.5,0.5,0.3333333333333333,0.7142857142857143,0.3333333333333333,0.0,,0,1,0,0,0,0,0,1,1,0,0.3385,TRAINING
41,2014,0.0,0.3333333333333333,1.0,0.3333333333333333,0.6,0.75,1000.0,0.0,0,1,0,0,0,0,0,1,1,0,0.3385,TRAINING
41,2016,1000.0,0.2,0.42857142857142855,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0,1,0,0,0,0,0,1,1,0,0.3385,TRAINING
41,2018,0.0,1.0,1.0,0.6666666666666666,1.0,1.0,,1000.0,0,1,0,0,0,0,0,1,1,0,0.3385,TRAINING
42,2012,0.0,0.25,0.3333333333333333,0.3333333333333333,0.7142857142857143,0.6666666666666666,0.0,,0,1,0,0,0,0,0,1,1,0,0.6396,TESTING
42,2014,0.0,0.3333333333333333,0.8,0.3333333333333333,0.4,0.25,0.0,0.0,0,1,0,0,0,0,0,1,1,0,0.6396,TESTING
42,2016,0.0,0.8,0.2857142857142857,0.3333333333333333,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,1,0,0.6396,TESTING
42,2018,0.0,1.0,1.0,1.0,1.0,1.0,,0.0,0,1,0,0,0,0,0,1,1,0,0.6396,TESTING
43,2016,0.0,0.8,0.42857142857142855,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0,1,0,0,0,0,0,1,1,0,0.8666,TESTING
43,2018,0.0,1.0,1.0,1.0,1.0,1.0,,0.0,0,1,0,0,0,0,0,1,1,0,0.8666,TESTING
43,2014,0.0,0.3333333333333333,0.8,0.3333333333333333,0.6,0.5,0.0,0.0,0,1,0,0,0,0,0,1,1,0,0.8666,TESTING
43,2012,0.0,0.25,0.5,0.3333333333333333,0.7142857142857143,0.6666666666666666,0.0,,0,1,0,0,0,0,0,1,1,0,0.8666,TESTING
44,2012,2000.0,0.25,0.3333333333333333,0.3333333333333333,0.5714285714285714,0.3333333333333333,2000.0,,0,1,0,0,0,0,0,1,1,0,0.9274,TESTING
44,2014,2000.0,0.3333333333333333,0.6,0.3333333333333333,0.2,0.25,3300.0,2000.0,0,1,0,0,0,0,0,1,1,0,0.9274,TESTING
44,2016,3300.0,0.8,0.2857142857142857,0.3333333333333333,0.0,0.0,0.0,2000.0,0,1,0,0,0,0,0,1,1,0,0.9274,TESTING
44,2018,0.0,1.0,1.0,1.0,1.0,1.0,,3300.0,0,1,0,0,0,0,0,1,1,0,0.9274,TESTING
45,2018,1177.0,1.0,1.0,1.0,1.0,1.0,,0.0,1,0,0,0,0,0,0,1,1,0,0.2558,TRAINING
45,2012,0.0,0.0,0.3333333333333333,0.0,0.5714285714285714,0.6666666666666666,0.0,,1,0,0,0,0,0,0,1,1,0,0.2558,TRAINING
45,2014,0.0,0.3333333333333333,0.8,0.3333333333333333,0.4,0.25,0.0,0.0,1,0,0,0,0,0,0,1,1,0,0.2558,TRAINING
45,2016,0.0,0.6,0.14285714285714285,0.3333333333333333,0.0,0.0,1177.0,0.0,1,0,0,0,0,0,0,1,1,0,0.2558,TRAINING
47,2018,3061.0,0.5,0.0,1.0,1.0,1.0,,0.0,0,1,0,1,0,0,0,0,1,0,0.7849,TESTING
47,2016,0.0,0.6,0.14285714285714285,0.3333333333333333,0.0,0.0,3061.0,0.0,0,1,0,1,0,0,0,0,1,0,0.7849,TESTING
47,2014,0.0,0.3333333333333333,0.8,0.3333333333333333,0.4,0.25,0.0,0.0,0,1,0,1,0,0,0,0,1,0,0.7849,TESTING
47,2012,0.0,0.0,0.3333333333333333,0.3333333333333333,0.5714285714285714,0.6666666666666666,0.0,,0,1,0,1,0,0,0,0,1,0,0.7849,TESTING
48,2018,0.0,0.5,0.75,1.0,1.0,1.0,,0.0,1,0,0,0,0,0,0,1,1,0,0.2047,TRAINING
48,2012,0.0,0.0,0.3333333333333333,0.3333333333333333,0.2857142857142857,0.6666666666666666,0.0,,1,0,0,0,0,0,0,1,1,0,0.2047,TRAINING
48,2014,0.0,0.3333333333333333,0.6,0.0,0.2,0.0,0.0,0.0,1,0,0,0,0,0,0,1,1,0,0.2047,TRAINING
48,2016,0.0,0.4,0.2857142857142857,0.3333333333333333,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,1,1,0,0.2047,TRAINING
49,2016,0.0,0.8,0.2857142857142857,0.3333333333333333,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,1,1,0,0.2747,TRAINING
49,2018,0.0,1.0,1.0,1.0,1.0,1.0,,0.0,1,0,0,0,0,0,0,1,1,0,0.2747,TRAINING
49,2012,0.0,0.5,0.5,0.6666666666666666,0.7142857142857143,0.6666666666666666,0.0,,1,0,0,0,0,0,0,1,1,0,0.2747,TRAINING
49,2014,0.0,0.3333333333333333,0.8,0.3333333333333333,0.4,0.25,0.0,0.0,1,0,0,0,0,0,0,1,1,0,0.2747,TRAINING
50,2016,0.0,0.8,0.2857142857142857,0.3333333333333333,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,1,1,0,0.9167,TESTING
