first,last,party,Citadel_donations2012,Citadel_donations2014,Citadel_donations2016,Citadel_donations2018,Bloomberg_donations2012,Bloomberg_donations2014,Bloomberg_donations2016,Bloomberg_donations2018,pageid,wikidataid,wikititle,name,sex,ethnicity,religion,birth,death,birthplace,deathplace,Number_Sessions_Served,Session_113,Session_114,Session_115,Session_116
Vern,Buchanan,R,,,,,,,,,6870542.0,Q2517229,Vern_Buchanan,Vern Buchanan,male,white,,1951-05-08,,"42.33167,-83.0475",,4.0,True,True,True,True
Alcee,Hastings,D,,,,,,,,,411264.0,Q1758631,Alcee_Hastings,Alcee L. Hastings,male,black,protestantism methodist,1936-09-05,,"28.66139,-81.39194",,4.0,True,True,True,True
Lois,Frankel,D,,,,,,,,,31254090.0,Q3182451,Lois_Frankel,Lois Frankel,female,white,,1948-05-17,,"40.67,-73.94",,4.0,True,True,True,True
Frederica,Wilson,D,,,,,,,,,13719198.0,Q461504,Frederica_Wilson,Frederica Wilson,female,black,,1942-11-05,,"25.78333,-80.21667",,4.0,True,True,True,True
Mario,Diaz-Balart,R,,,,,,,,,411276.0,Q767270,Mario_Díaz-Balart,Mario Diaz-Balart,male,hispanic,catholicism,1961-09-25,,"26.13583,-80.14194",,4.0,True,True,True,True
Sanford,Jr.,D,,,,,,,,,411731.0,Q983428,Sanford_Bishop,"Sanford D. Bishop, Jr.",male,black,protestantism baptist,1947-02-04,,"30.72767,-88.05267",,4.0,True,True,True,True
Hank,Johnson,D,,,,,,,,,6031063.0,Q983537,Hank_Johnson,Hank Johnson,male,black,soka gakkai,1954-10-02,,"38.895,-77.03667",,4.0,True,True,True,True
Rob,Woodall,R,,,,,,,,,28722293.0,Q2156128,Rob_Woodall,Rob Woodall,male,white,,1970-02-11,,"33.95528,-83.38306",,4.0,True,True,True,True
Austin,Scott,R,,,,,,,,,23939531.0,Q781167,Austin_Scott_(politician),Austin Scott,male,white,,1969-12-10,,"33.47,-81.975",,4.0,True,True,True,True
Doug,Collins,R,,,,,,,,,36893778.0,Q3162841,Doug_Collins_(politician),Doug Collins,male,white,,1966-08-16,,"34.3044,-83.8339",,4.0,True,True,True,True
David,Scott,D,,,,,,,,,411853.0,Q132071,David_Scott_(Georgia_politician),David Scott,male,black,protestantism baptist,1945-06-27,,"33.99778,-79.2025",,4.0,True,True,True,True
Tom,Graves,R,,,,,,,,,27452031.0,Q1647301,Tom_Graves,Tom Graves,male,white,,1970-02-03,,"27.77306,-82.64",,4.0,True,True,True,True
Tulsi,Gabbard,D,,,,,,,,,26328774.0,Q32620,Tulsi_Gabbard,Tulsi Gabbard,female,islander,hindu,1981-04-12,,"-14.2667,-170.667",,4.0,True,True,True,True
Michael,Simpson,R,,,,,,,,,411870.0,Q549521,Mike_Simpson,Michael K. Simpson,male,white,protestantism restorationism,1950-09-08,,"42.53611,-113.79278",,4.0,True,True,True,True
Bobby,Rush,D,,,,,,,,,411889.0,Q888599,Bobby_Rush,Bobby Rush,male,black,protestantism,1946-11-23,,"31.58222,-84.16556",,4.0,True,True,True,True
Robin,Kelly,D,,,,,,,,,6520375.0,Q3437091,Robin_Kelly,Robin Kelly,female,black,,1956-04-30,,"40.67,-73.94",,4.0,True,True,True,True
Dan,Lipinski,D,,,,,,,,,1422461.0,Q518424,Dan_Lipinski,Dan Lipinski,male,white,catholicism,1966-07-15,,"41.88194,-87.62778",,4.0,True,True,True,True
Michael,Quigley,D,,,,,,,,,5895960.0,Q465767,Mike_Quigley_(politician),Michael Quigley,male,white,,1958-10-17,,"39.76778,-86.15806",,4.0,True,True,True,True
Danny,Davis,D,,,,,,,,,412062.0,Q1164657,Danny_K._Davis,Danny K. Davis,male,black,protestantism baptist,1941-09-06,,"33.12167,-91.5475",,4.0,True,True,True,True
Janice,Schakowsky,D,,,,,,,,,412083.0,Q440885,Jan_Schakowsky,Janice D. Schakowsky,female,white,judaism,1944-05-26,,"41.88194,-87.62778",,4.0,True,True,True,True
Bill,Foster,D,,,,,,,,,11728202.0,Q2903389,Bill_Foster_(politician),Bill Foster,male,white,,1955-10-07,,"43.07472,-89.38444",,4.0,True,True,True,True
Rodney,Davis,R,,,,,,,,,35907710.0,Q134035,Rodney_Davis_(politician),Rodney L. Davis,male,white,,1970-01-05,,"41.59083,-93.62083",,4.0,True,True,True,True
John,Shimkus,R,,,,,,,,,412158.0,Q1701747,John_Shimkus,John Shimkus,male,white,protestantism lutheran,1958-02-21,,"38.6744,-89.9953",,4.0,True,True,True,True
Adam,Kinzinger,R,,,,,,,,,22201400.0,Q349955,Adam_Kinzinger,Adam Kinzinger,male,white,,1978-02-27,,"41.12,-87.86",,4.0,True,True,True,True
Peter,Visclosky,D,,,,,,,,,391317.0,Q514660,Pete_Visclosky,Peter J. Visclosky,male,white,catholicism,1949-08-13,,"41.58083,-87.34556",,4.0,True,True,True,True
Jackie,Walorski,R,,,,,,,,,7426512.0,Q3157413,Jackie_Walorski,Jackie Walorski,female,white,protestantism evangelical,1963-08-17,,"41.67639,-86.25028",,4.0,True,True,True,True
Susan,Brooks,R,,,,,,,,,35769832.0,Q3225324,Susan_Brooks,Susan Brooks,female,white,,1960-08-25,,"41.36699,-85.05886",,4.0,True,True,True,True
André,Carson,D,,,,,,,,,30205998.0,Q517649,André_Carson,André Carson,male,black,islam,1974-10-16,,"39.76778,-86.15806",,4.0,True,True,True,True
Larry,Bucshon,R,,,,,,,,,27864627.0,Q944286,Larry_Bucshon,Larry Bucshon,male,white,protestantism lutheran,1962-05-31,,"39.54083,-89.28806",,4.0,True,True,True,True
David,Loebsack,D,,,,,,,,,6872479.0,Q771586,Dave_Loebsack,David Loebsack,male,white,,1952-12-23,,"42.49806,-96.39556",,4.0,True,True,True,True
Steve,King,R,,,,,,,,,412938.0,Q749710,Steve_King,Steve King,male,white,catholicism,1949-05-28,,"42.64361,-95.20194",,4.0,True,True,True,True
Brett,Guthrie,R,,,,,,,,,16905071.0,Q910794,Brett_Guthrie,Brett Guthrie,male,white,,1964-02-18,,"34.82028,-87.66278",,4.0,True,True,True,True
John,Yarmuth,D,,,,,,,,,3983746.0,Q699970,John_Yarmuth,John Yarmuth,male,white,judaism,1947-11-04,,"38.25417,-85.76028",,4.0,True,True,True,True
Thomas,Massie,R,,,,,,,,,28005891.0,Q2426031,Thomas_Massie,Thomas Massie,male,white,,1971-01-13,,"38.42083,-82.42361",,4.0,True,True,True,True
Hal,Rogers,R,,,,,,,,,414448.0,Q547153,Hal_Rogers,Hal Rogers,male,white,protestantism baptist,1937-12-31,,"36.76889,-84.76722",,4.0,True,True,True,True
