person,state,district,vote,name,party
412472,SC,3,Nay,"Rep. Jeff Duncan [R, 2011-2022]",Republican
412476,TN,3,Nay,"Rep. Charles “Chuck” Fleischmann [R, 2011-2022]",Republican
412477,TN,4,Not Voting,"Rep. Scott DesJarlais [R, 2011-2022]",Republican
412480,TX,17,Nay,"Rep. Bill Flores [R, 2011-2020]",Republican
412485,VA,9,Nay,"Rep. Morgan Griffith [R, 2011-2022]",Republican
412486,WA,3,Nay,"Rep. Jaime Herrera Beutler [R, 2011-2022]",Republican
412487,WV,1,Nay,"Rep. David McKinley [R, 2011-2022]",Republican
412500,NV,2,Nay,"Rep. Mark Amodei [R, 2011-2022]",Republican
412501,OR,1,Yea,"Rep. Suzanne Bonamici [D, 2012-2022]",Democrat
412503,KY,4,Nay,"Rep. Thomas Massie [R, 2012-2022]",Republican
412505,WA,1,Yea,"Rep. Suzan DelBene [D, 2012-2022]",Democrat
412506,NJ,10,Yea,"Rep. Donald Payne Jr. [D, 2012-2022]",Democrat
412510,CA,1,Nay,"Rep. Doug LaMalfa [R, 2013-2022]",Republican
412511,CA,2,Yea,"Rep. Jared Huffman [D, 2013-2022]",Democrat
412512,CA,7,Yea,"Rep. Ami Bera [D, 2013-2022]",Democrat
412513,CA,8,Nay,"Rep. Paul Cook [R, 2013-2020]",Republican
412514,CA,15,Yea,"Rep. Eric Swalwell [D, 2013-2022]",Democrat
412516,CA,26,Yea,"Rep. Julia Brownley [D, 2013-2022]",Democrat
412517,CA,29,Yea,"Rep. Tony Cárdenas [D, 2013-2022]",Democrat
412519,CA,36,Yea,"Rep. Raul Ruiz [D, 2013-2022]",Democrat
412520,CA,41,Yea,"Rep. Mark Takano [D, 2013-2022]",Democrat
412521,CA,47,Yea,"Rep. Alan Lowenthal [D, 2013-2022]",Democrat
412522,CA,51,Yea,"Rep. Juan Vargas [D, 2013-2022]",Democrat
412523,CA,52,Yea,"Rep. Scott Peters [D, 2013-2022]",Democrat
412525,FL,3,Nay,"Rep. Ted Yoho [R, 2013-2020]",Republican
412529,FL,21,Yea,"Rep. Lois Frankel [D, 2017-2022]",Democrat
412531,GA,9,Nay,"Rep. Doug Collins [R, 2013-2020]",Republican
412532,HI,2,Yea,"Rep. Tulsi Gabbard [D, 2013-2020]",Democrat
412534,IL,10,Yea,"Rep. Bradley “Brad” Schneider [D, 2017-2022]",Democrat
412536,IL,13,Nay,"Rep. Rodney Davis [R, 2013-2022]",Republican
412537,IL,17,Yea,"Rep. Cheri Bustos [D, 2013-2022]",Democrat
412538,IN,2,Nay,"Rep. Jackie Walorski [R, 2013-2022]",Republican
412539,IN,5,Nay,"Rep. Susan Brooks [R, 2013-2020]",Republican
412541,KY,6,Nay,"Rep. Garland “Andy” Barr [R, 2013-2022]",Republican
412543,MA,4,Yea,"Rep. Joseph Kennedy III [D, 2013-2020]",Democrat
412546,MI,5,Yea,"Rep. Daniel Kildee [D, 2013-2022]",Democrat
412548,MO,2,Nay,"Rep. Ann Wagner [R, 2013-2022]",Republican
412550,NC,8,Nay,"Rep. Richard Hudson [R, 2013-2022]",Republican
412553,NC,2,Nay,"Rep. George Holding [R, 2017-2020]",Republican
412557,NH,2,Yea,"Rep. Ann Kuster [D, 2013-2022]",Democrat
412559,NV,4,Yea,"Rep. Steven Horsford [D, 2019-2022]",Democrat
412560,NY,6,Yea,"Rep. Grace Meng [D, 2013-2022]",Democrat
412561,NY,8,Yea,"Rep. Hakeem Jeffries [D, 2013-2022]",Democrat
412562,NY,18,Yea,"Rep. Sean Maloney [D, 2013-2022]",Democrat
412564,OH,2,Nay,"Rep. Brad Wenstrup [R, 2013-2022]",Republican
412565,OH,3,Yea,"Rep. Joyce Beatty [D, 2013-2022]",Democrat
412566,OH,14,Nay,"Rep. David Joyce [R, 2013-2022]",Republican
412568,OK,2,Nay,"Rep. Markwayne Mullin [R, 2013-2022]",Republican
412569,PA,10,Nay,"Rep. Scott Perry [R, 2019-2022]",Republican
412571,PA,8,Yea,"Rep. Matthew “Matt” Cartwright [D, 2019-2022]",Democrat
412572,SC,7,Nay,"Rep. Tom Rice [R, 2013-2022]",Republican
412574,TX,14,Nay,"Rep. Randy Weber Sr. [R, 2013-2022]",Republican
412576,TX,20,Yea,"Rep. Joaquin Castro [D, 2013-2022]",Democrat
